term_id,term_name,padj,term_size,overlap
GO:0071773,cellular response to BMP stimulus,0.00790345020802548,171,26
GO:0071772,response to BMP,0.00790345020802548,171,26
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,0.008016483501452884,270,35
GO:0048514,blood vessel morphogenesis,0.008296430238466936,632,64
GO:0044283,small molecule biosynthetic process,0.008549350340013848,580,60
GO:1901989,positive regulation of cell cycle phase transition,0.008800894073812609,112,20
GO:0009792,embryo development ending in birth or egg hatching,0.009076775551101266,687,68
GO:1990169,stress response to copper ion,0.009535613875895995,14,7
GO:0051255,spindle midzone assembly,0.009535613875895995,14,7
GO:0010273,detoxification of copper ion,0.009535613875895995,14,7
GO:0019369,arachidonate metabolic process,0.00960735667300865,52,13
GO:0045931,positive regulation of mitotic cell cycle,0.010670267228093779,123,21
GO:0001676,long-chain fatty acid metabolic process,0.010777533448058683,104,19
GO:0030855,epithelial cell differentiation,0.011040916665699417,745,72
GO:0046394,carboxylic acid biosynthetic process,0.011993120568750933,310,38
GO:0043009,chordate embryonic development,0.014021445477049239,669,66
GO:0007165,signal transduction,0.014791648638646845,6063,408
GO:0016053,organic acid biosynthetic process,0.015043762046462477,313,38
GO:0042178,xenobiotic catabolic process,0.01606060285489946,26,9
GO:0001568,blood vessel development,0.016957652015660393,727,70
GO:0048562,embryonic organ morphogenesis,0.020157838036360738,305,37
GO:0051216,cartilage development,0.020797115059065393,213,29
GO:0043583,ear development,0.021712355719821576,236,31
GO:0019730,antimicrobial humoral response,0.022031281990490672,149,23
GO:1901970,positive regulation of mitotic sister chromatid separation,0.023185414466238934,21,8
GO:0051443,positive regulation of ubiquitin-protein transferase activity,0.023185414466238934,21,8
GO:0002933,lipid hydroxylation,0.024064098281728456,7,5
GO:2000026,regulation of multicellular organismal development,0.024499872784227793,1392,116
GO:0072330,monocarboxylic acid biosynthetic process,0.02495991875714353,215,29
GO:0000226,microtubule cytoskeleton organization,0.02501332176780073,681,66
GO:2000027,regulation of animal organ morphogenesis,0.025102901316190928,82,16
GO:0010038,response to metal ion,0.02514342866559132,320,38
GO:0090329,regulation of DNA-templated DNA replication,0.025273849703145942,41,11
GO:0007143,female meiotic nuclear division,0.025273849703145942,41,11
GO:0050808,synapse organization,0.025422026369061206,561,57
